"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","sub_stringency","sub_stringency_cubed","lockdowns","lockdowns_cubed","first_death_date","date_first_death_days","stringency"
"Albania","ALB","2020-12-30","Europe",57727,581,487.143,1174,4,8.143,20093.396,202.232,169.563,408.641,1.392,2.834,0.94,NA,NA,NA,NA,NA,NA,NA,NA,245176,2681,85.34,0.933,2187,0.761,0.2227,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,2,1,4,1,0,NA,2,1,0,NA,3,1,1,1,0,0,2,1,2,2,0,0,4,1,0,NA,3,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,57727,1174,56.48,56.48,64.29,64.29,60.94,60.94,62.5,62.5,50,50,41,20,21.7,41,20,1,8,0,64,583,422,236,725,2311,1196,944,7553,1966,12004,1005,3507,"2020-03-11",25.458333333333332,89.81
"Andorra","AND","2020-12-30","Europe",7983,64,44.857,84,0,0.286,103200.869,827.365,579.894,1085.917,0,3.694,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,7.511,0.0772,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77354,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,1,1,0,NA,0,NA,1,2,1,2,0,0,2,1,3,2,0,0,3,1,0,NA,2,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,7983,84,52.78,52.78,59.52,59.52,63.54,63.54,58.33,58.33,100,100,42.5,1.5,25.6,42.5,1.5,8,0,0,27,621,116,0,759,3039,116,0,5571,1496,8726,737,3155,"2020-03-22",36.45833333333333,59.26
"Austria","AUT","2020-12-30","Europe",353088,2125,1927.286,7403,89,88,39045.139,234.987,213.123,818.638,9.842,9.731,0.98,395,43.68,2407,266.171,NA,NA,NA,NA,NA,NA,NA,NA,13859,1.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,3,1,2,1,4,1,1,1,2,1,1,1,3,2,1,2,0,0,2,1,3,2,0,0,3,1,2,1,3,1,NA,1,1,"80+ yrs","80+ yrs",1,0,0,2,5,NA,353088,7403,82.41,82.41,88.1,88.1,84.79,84.79,82.62,82.62,100,100,47.33,13.33,20.1,47.33,13.33,27,8,1,27,539,260,209,651,2657,986,551,4209,1659,8403,799,3643,"2020-03-14",28.458333333333332,82.41
"Belarus","BLR","2020-12-30","Europe",192361,1957,1880.714,1414,10,9.286,20371.038,207.246,199.168,149.743,1.059,0.983,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20863,2.209,0.0901,11.1,NA,NA,NA,NA,NA,403,NA,NA,NA,NA,43,403,0.004,9442867,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.823,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,1,1,4,1,0,NA,1,1,0,NA,4,0,NA,0,0,0,2,1,3,2,839256,0,3,0,1,1,1,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,192361,1414,42.59,42.59,50,50,43.7,43.7,49.94,49.94,0,0,53,28,24.5,53,28,0,1,0,27,0,274,0,393,0,274,0,1737,667,2011,274,274,"2020-03-31",45.45833333333333,42.59
"Belgium","BEL","2020-12-30","Europe",644242,2831,1703,19441,80,71.714,55383.726,243.373,146.402,1671.29,6.877,6.165,0.92,496,42.64,2333,200.562,NA,NA,1132,97.315,6936274,32735,596.293,2.814,26392,2.269,0.073,13.7,911,909,21,NA,531,286,0.01,0.01,0,NA,25,284,0.002,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,0,NA,2,1,0,NA,3,2,1,2,0,0,2,1,2,2,0,0,3,1,1,1,2,1,NA,1,1,"","",0,0,0,0,5,NA,644242,19441,60.19,60.19,67.86,67.86,66.88,66.88,62.14,62.14,100,100,50.83,4,22.1,50.83,4,8,8,0,27,668,363,190,650,3914,1437,724,4940,1871,11015,1031,5351,"2020-03-11",25.458333333333332,81.48
"Bosnia & Herzegovina","BIH","2020-12-30","Europe",110985,531,487.857,4050,26,31.857,34008.394,162.711,149.491,1241.015,7.967,9.762,0.85,NA,NA,NA,NA,NA,NA,NA,NA,511940,2873,156.87,0.88,2611,0.8,0.1868,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,0,1,1,3,1,0,NA,2,0,0,NA,1,0,NA,0,0,0,2,1,2,0,0,0,3,1,0,NA,3,0,NA,0,0,"","",NA,NA,NA,NA,0,NA,110985,4050,42.59,42.59,50.71,50.71,38.02,38.02,43.45,43.45,0,0,44,18,17.9,44,18,8,8,0,27,467,259,228,831,2195,1561,648,7479,1785,11883,726,3756,"2020-03-21",35.45833333333333,92.59
"Bulgaria","BGR","2020-12-30","Europe",201220,1729,762,7515,110,76.714,29176.463,250.701,110.488,1089.659,15.95,11.123,0.76,474,68.729,5023,728.324,NA,NA,NA,NA,1141072,8076,165.453,1.171,4130,0.599,0.1845,5.4,4608,4608,NA,NA,2889,2889,0.07,0.07,NA,NA,419,2889,0.042,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,3,2,0,1,16770996.02,0,2,1,1,2,0,0,3,1,1,1,0,NA,NA,1,1,"","",0,0,0,1,5,NA,201220,7515,53.7,53.7,60.71,60.71,52.29,52.29,50.83,50.83,62.5,62.5,43,25,25,43,25,8,0,0,27,363,111,98,577,867,333,392,3451,1149,5043,474,1200,"2020-03-11",25.458333333333332,73.15
"Croatia","HRV","2020-12-30","Europe",208446,1850,1194.286,3860,65,66.571,51068.965,453.247,292.598,945.694,15.925,16.31,0.71,NA,NA,2608,638.956,NA,NA,NA,NA,1010668,6322,247.612,1.549,5166,1.266,0.2312,4.3,7864,7864,NA,NA,NA,NA,0.19,0.19,NA,NA,NA,NA,NA,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,1,1,4,1,1,1,0,NA,2,1,3,1,0,1,0,0,2,1,3,2,0,0,3,1,2,1,3,1,NA,1,1,"","",1,0,2,2,5,NA,208446,3860,67.59,67.59,84.52,84.52,68.65,68.65,73.1,73.1,37.5,37.5,45.17,15.5,24.4,45.17,15.5,8,0,8,27,440,217,142,513,2234,511,568,4617,1312,7930,657,2745,"2020-03-19",33.45833333333333,96.3
"Cyprus","CYP","2020-12-30","Europe",21315,907,415.571,118,4,2.286,23788.93,1012.271,463.805,131.696,4.464,2.551,1.3,25,27.902,159,177.454,NA,NA,NA,NA,1024987,17451,1143.952,19.476,9803,10.941,0.0424,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896005,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,1,1,1,1,2,0,3,2,1,2,0,0,2,1,3,2,0,0,4,1,1,1,3,1,NA,1,1,"","",0,0,0,1,5,NA,21315,118,74.07,74.07,79.76,79.76,80.42,80.42,77.62,77.62,100,100,35,33,21.8,35,33,8,1,8,64,451,407,206,548,2047,1157,764,4886,1612,8854,858,3204,"2020-03-25",39.45833333333333,94.44
"Czechia","CZE","2020-12-30","Europe",701622,16420,7901.429,11429,127,109.286,65422.027,1531.066,736.761,1065.685,11.842,10.19,1.29,956,89.141,6142,572.705,494,46.063,4895,456.429,4177238,67313,389.502,6.277,40911,3.815,0.205,4.9,10577,10576,1,NA,3516,3097,0.1,0.1,0,NA,289,3097,0.029,10724553,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.9,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,1,1,4,1,0,NA,2,1,2,1,3,2,0,1,0,0,2,1,3,2,0,0,4,1,2,1,3,1,NA,1,1,"","",0,0,0,1,5,NA,701622,11429,73.15,73.15,78.57,78.57,76.46,76.46,78.45,78.45,62.5,62.5,49.75,15.5,26,49.75,15.5,8,8,8,64,458,235,288,799,1892,757,810,7315,1780,10774,693,2649,"2020-03-22",36.45833333333333,82.41
