"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","sub_stringency","sub_stringency_cubed","lockdowns","lockdowns_cubed","first_death_date","date_first_death_days","stringency"
"Denmark","DNK","2020-12-30","Europe",161230,2783,2536.857,1256,30,22.857,27734.668,478.73,436.388,216.056,5.161,3.932,0.88,136,23.395,926,159.29,NA,NA,1045,179.76,10505754,111380,1807.192,19.16,78541,13.511,0.0323,31,25721,25720,1,NA,10253,3671,0.44,0.44,0,NA,631,3671,0.063,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,0,2,0,4,1,0,NA,1,0,0,NA,3,2,1,2,0,0,2,1,3,1,0,0,2,1,2,1,2,1,NA,1,1,"","",0,0,0,2,5,NA,161230,1256,51.85,51.85,57.14,57.14,60.83,60.83,55.24,55.24,100,100,56,10,19.7,56,10,8,1,0,8,523,280,80,306,1891,280,80,1092,1189,3343,803,2171,"2020-03-14",28.458333333333332,72.22
"Estonia","EST","2020-12-30","Europe",27256,973,563.857,226,5,4.857,20567.648,734.235,425.492,170.542,3.773,3.665,1.06,43,32.448,388,292.789,NA,NA,NA,NA,637035,5842,480.713,4.408,4211,3.178,0.1339,7.5,1889,1889,35,NA,1013,566,0.14,0.14,0,NA,427,566,0.043,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,0,2,0,4,1,0,NA,0,NA,0,NA,3,0,NA,2,0,0,2,1,2,1,0,0,2,1,1,1,0,NA,NA,1,1,"70-74 yrs","70-74 yrs",1,0,0,2,5,NA,27256,226,55.56,55.56,60.71,60.71,49.17,49.17,49.05,49.05,50,50,59,26,21.2,59,26,8,0,0,8,409,100,110,322,1729,400,440,832,941,3401,509,2129,"2020-03-25",39.45833333333333,77.78
"Finland","FIN","2020-12-30","Europe",36167,308,241.286,588,2,2.714,6518.502,55.512,43.488,105.977,0.36,0.489,0.91,30,5.407,211,38.029,NA,NA,NA,NA,2493207,14322,449.359,2.581,10511,1.894,0.023,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5548361,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,NA,NA,NA,NA,"","","NAT_TOTAL",2,0,2,0,2,0,4,0,0,NA,1,1,0,NA,3,2,1,1,0,0,2,1,2,1,0,0,1,1,1,1,2,1,NA,1,1,"","",0,0,1,2,5,NA,36167,588,52.31,52.31,57.86,57.86,53.07,53.07,49.94,49.94,75,75,64,26,22.2,64,26,8,1,0,1,416,101,92,140,1148,101,200,140,749,1589,517,1249,"2020-03-07",21.458333333333332,71.3
"France","FRA","2020-12-30","Europe",2640749,26457,13524,64393,303,343.286,39167.468,392.409,200.587,955.074,4.494,5.092,1.09,2652,39.334,24560,364.273,1196,17.739,7547,111.937,35544171,399530,527.19,5.926,282682,4.193,0.044,22.7,2094,2093,1,NA,441,496,0,0,0,NA,7,496,0.001,67422000,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,0,NA,2,1,0,NA,3,2,1,0,0,0,2,1,3,1,0,0,4,0,0,NA,2,1,NA,1,1,"","",0,0,0,1,5,NA,2597124,64016,63.89,63.89,71.43,71.43,61.2,61.2,62.8,62.8,50,50,46,2,21.6,46,2,8,8,0,64,609,302,399,890,3537,1082,1257,10646,2200,16522,911,4619,"2020-02-15",0.4583333333333333,87.96
"Germany","DEU","2020-12-30","Europe",1687185,22459,18895,32107,1129,591.286,20109.363,267.686,225.207,382.68,13.456,7.047,0.92,5647,67.306,NA,NA,NA,NA,11327,135.005,NA,NA,NA,NA,140789,1.678,NA,NA,156549,156549,NA,NA,64066,44043,0.19,0.19,NA,NA,525,44043,0.052,83900471,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,3,1,2,1,4,1,1,1,2,1,1,1,3,2,0,0,0,0,2,1,1,2,0,0,2,1,2,1,2,1,NA,1,1,"80+ yrs","80+ yrs",0,0,0,1,5,NA,1687185,32107,82.41,82.41,88.1,88.1,69.17,69.17,73.69,73.69,37.5,37.5,51,9,22.3,51,9,27,8,1,8,583,207,416,543,2557,639,1430,2157,1749,6783,790,3196,"2020-03-09",23.458333333333332,82.41
"Greece","GRC","2020-12-30","Europe",137918,942,650.429,4788,58,55.143,13298.753,90.832,62.718,461.683,5.593,5.317,0.86,NA,NA,NA,NA,NA,NA,NA,NA,3350565,35015,323.078,3.376,21156,2.04,0.0307,32.5,1722,1722,NA,NA,645,638,0.02,0.02,NA,NA,62,638,0.006,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,1,1,2,1,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,2,1,3,1,NA,1,1,"60-64 yrs","60-64 yrs",1,0,2,2,5,NA,137918,4788,84.26,84.26,88.1,88.1,83.75,83.75,83.21,83.21,87.5,87.5,39,22,24.9,39,22,8,8,8,64,428,405,435,674,1232,1137,1335,7142,1942,10846,833,2369,"2020-03-11",25.458333333333332,84.26
"Hungary","HUN","2020-12-30","Europe",319543,1972,1611.571,9429,137,116.143,33167.701,204.688,167.277,978.705,14.22,12.055,0.78,NA,NA,6155,638.872,NA,NA,NA,NA,2209637,18302,229.354,1.9,12895,1.338,0.125,8,NA,NA,NA,NA,NA,6202,NA,NA,NA,NA,644,NA,NA,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.854,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,1,1,2,1,0,NA,4,1,0,1,0,0,2,1,2,1,0,0,2,1,1,1,3,1,NA,1,1,"","",0,0,0,1,5,NA,319543,9429,72.22,72.22,84.52,84.52,63.23,63.23,66.9,66.9,37.5,37.5,47,20,26.4,47,20,8,8,0,8,443,347,221,496,1361,995,443,1984,1507,4783,790,2356,"2020-03-15",29.458333333333332,76.85
"Iceland","ISL","2020-12-30","Europe",5754,18,10.143,29,0,0.143,15602.291,48.808,27.503,78.635,0,0.387,1.13,NA,NA,NA,NA,NA,NA,NA,NA,240858,1020,653.1,2.766,711,1.928,NA,NA,4875,4875,NA,NA,NA,NA,1.32,1.32,NA,NA,NA,NA,NA,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,0,NA,0,NA,0,NA,3,2,0,2,0,0,2,1,3,2,0,0,2,1,2,1,2,1,NA,1,1,"","",0,0,0,2,5,NA,5754,29,52.78,52.78,57.14,57.14,62.92,62.92,59.4,59.4,87.5,87.5,65,-18,21.9,65,18,8,0,0,8,365,0,0,306,1217,0,0,1224,671,2441,365,1217,"2020-03-21",35.45833333333333,53.7
"Ireland","IRL","2020-12-30","Europe",90157,1718,1143.143,2226,13,6,18093.264,344.779,229.413,446.727,2.609,1.204,1.8,39,7.827,454,91.112,NA,NA,NA,NA,2348698,17489,471.351,3.51,14362,2.882,0.1,10,1375,1355,20,NA,1058,568,0.03,0.03,0,NA,114,567,0.011,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.955,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,3,1,2,1,4,1,1,1,1,1,2,1,3,2,1,1,0,0,2,1,2,2,0,0,2,1,0,NA,3,1,NA,1,0,"","",NA,NA,NA,NA,0,NA,90157,2226,84.26,84.26,91.67,91.67,76.56,76.56,76.79,76.79,75,75,53,-8,25.3,53,8,27,1,8,8,674,352,416,336,4682,1042,1490,1344,1778,8558,1026,5724,"2020-03-11",25.458333333333332,90.74
"Italy","ITA","2020-12-30","Europe",2083689,16202,13201.571,73604,575,458.429,34516.752,268.39,218.687,1219.266,9.525,7.594,1.06,2528,41.877,26094,432.253,1193,19.762,8725,144.531,26412603,169045,437.53,2.8,122003,2.021,0.1082,9.2,14840,14840,NA,NA,4887,2497,0.02,0.02,NA,NA,41,2497,0.004,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,1,1,2,0,2,1,3,1,1,2,0,0,2,1,2,2,0,0,4,0,2,1,2,1,NA,1,1,"","",0,0,0,2,5,NA,2083689,73604,78.7,78.7,84.52,84.52,76.2,76.2,76.37,76.37,75,75,42.83,12.83,19.9,42.83,12.83,8,8,8,64,717,624,573,1084,4629,2496,2127,17344,2998,26596,1341,7125,"2020-02-21",6.458333333333333,93.52
"Latvia","LVA","2020-12-30","Europe",39043,1367,794.143,626,23,21,20912.898,732.217,425.373,335.309,12.32,11.248,1.11,NA,NA,998,534.566,NA,NA,NA,NA,864620,11971,463.123,6.412,7328,3.925,0.1084,9.2,2329,2327,2,NA,802,329,0.12,0.12,0,NA,176,329,0.018,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,3,1,2,1,4,1,0,NA,1,1,0,NA,3,2,1,2,0,0,2,1,2,1,0,0,3,1,1,1,1,1,NA,1,1,"","",0,0,0,1,5,NA,39043,626,63.89,63.89,71.43,71.43,63.75,63.75,58.57,58.57,100,100,57,25,23.6,57,25,27,1,0,27,562,205,0,435,2332,205,0,2463,1202,5000,767,2537,"2020-04-03",48.45833333333333,69.44
"Lithuania","LTU","2020-12-30","Europe",141793,3478,2543,1744,44,44.429,52713.857,1293.003,945.402,648.36,16.358,16.517,0.92,NA,NA,2429,903.02,NA,NA,NA,NA,1628113,13828,605.278,5.141,9666,3.593,0.257,3.9,9725,9725,NA,NA,1531,2436,0.36,0.36,NA,NA,906,2436,0.091,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,3,1,2,1,4,1,0,NA,2,1,2,1,3,1,0,2,0,0,1,1,2,1,0,0,3,1,2,1,3,1,NA,1,1,"80+ yrs","16-19 yrs",2,0,2,2,5,NA,141793,1744,76.85,76.85,77.38,77.38,71.77,71.77,73.1,73.1,62.5,62.5,56,24,26.3,56,24,27,8,8,27,463,251,173,396,2473,341,287,3144,1283,6245,714,2814,"2020-03-24",38.45833333333333,87.04
"Luxembourg","LUX","2020-12-30","Europe",46415,327,172.286,495,6,5.286,73115.905,515.112,271.396,779.756,9.452,8.326,0.78,31,48.833,132,207.935,NA,NA,NA,NA,1647188,8607,2594.757,13.558,5161,8.13,0.031,32.3,1251,1251,NA,NA,451,400,0.2,0.2,NA,NA,630,400,0.063,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.916,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,0,NA,2,1,0,NA,3,1,0,2,0,0,2,1,3,2,0,0,3,1,2,1,2,1,NA,1,1,"65-69 yrs","65-69 yrs",1,0,2,2,5,NA,46415,495,67.59,67.59,75,75,69.69,69.69,70.71,70.71,62.5,62.5,49.75,6.17,22.6,49.75,6.17,8,8,0,27,441,385,139,676,1995,961,355,4978,1641,8289,826,2956,"2020-03-14",28.458333333333332,79.63
"Malta","MLT","2020-12-30","Europe",12665,124,96.143,216,1,2.143,24539.818,240.264,186.287,418.524,1.938,4.152,1.18,NA,NA,63,122.069,NA,NA,NA,NA,511899,3043,991.86,5.896,2569,4.978,0.0374,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,0,NA,0,NA,0,NA,3,2,0,1,NA,NA,2,1,3,2,NA,0,4,1,1,1,2,1,NA,1,1,"80+ yrs","80+ yrs",0,0,0,2,5,NA,12665,216,52.78,52.78,57.14,57.14,61.67,61.67,61.55,61.55,62.5,62.5,35.83,14.58,28.9,35.83,14.58,8,0,0,64,280,153,147,692,1018,567,525,7268,1272,9378,433,1585,"2020-04-08",53.45833333333333,87.04
