"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density"
"ALB","Europe","Albania","2021-12-30",1,1,987,2949,2,8,1152,4116,0,0,272,1088,3,27,1836,20448,4247,28601,1118.021,46.3,52.6,52.98,50,25.458333333333332,89.81,104.871
"AND","Europe","Andorra","2021-12-30",2,8,1148,4538,1,1,166,244,1,1,37,37,4,64,1734,13434,3085,18253,1809.861,64.81,76.04,72.62,100,36.45833333333333,65.74,163.755
"AUT","Europe","Austria","2021-12-30",2,8,1340,6926,2,8,618,2418,0,0,610,2026,3,27,1746,14064,4314,25434,1857.665,62.04,77.08,73.81,100,28.458333333333332,82.41,106.749
"BLR","Europe","Belarus","2021-12-30",0,0,98,98,0,0,503,503,0,0,0,0,1,1,1186,7564,1787,8165,588.91,19.44,23.75,27.14,0,45.45833333333333,43.52,46.858
"BEL","Europe","Belgium","2021-12-30",2,8,1398,6834,0,0,702,2544,0,0,190,724,3,27,1698,13902,3988,24004,2433.561,50,65.1,63.69,75,25.458333333333332,81.48,375.564
"BIH","Europe","Bosnia and Herzegovina","2021-12-30",1,1,1007,3785,0,0,562,2746,0,0,237,657,2,8,1736,13724,3542,20912,4114.653,35.19,42.5,41.43,50,35.45833333333333,92.59,68.496
"BGR","Europe","Bulgaria","2021-12-30",2,8,1038,3522,0,0,133,355,0,0,120,414,2,8,1602,12264,2893,16555,4478.983,50,60.94,57.14,87.5,25.458333333333332,73.15,65.18
"HRV","Europe","Croatia","2021-12-30",1,1,911,3341,0,0,228,522,0,0,160,640,2,8,1503,13011,2802,17514,3060.767,40.74,50.52,48.81,62.5,33.45833333333333,96.3,73.726
"CYP","Europe","Cyprus","2021-12-30",3,27,1438,9850,1,1,809,2537,0,0,439,1357,3,27,1606,14506,4292,28250,709.817,58.33,70.83,66.67,100,39.45833333333333,94.44,127.657
"CZE","Europe","Czechia","2021-12-30",2,8,1073,4007,0,0,418,1426,0,0,492,1626,2,8,1763,16103,3746,23162,3362.471,47.22,60.42,56.55,87.5,36.45833333333333,82.41,137.176
