"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","first_death_date","date_first_death_days","max_stringency"
"Denmark","DNK","2022-05-20","Europe",3130952,0,528,6312,0,4.857,538584.096,0,90.826,1085.786,0,0.836,0.86,8,1.376,324,55.734,NA,NA,253,43.521,64464669,6041,11089.166,1.039,6457,1.111,0.0818,12.2,13211963,4831966,4793739,3633067,583,672,227.27,83.12,82.46,62.5,116,62,0.001,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,2,1,3,2,NA,0,0,NA,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,3130952,6312,11.11,11.11,14.29,14.29,29.17,29.17,33.33,33.33,0,0,56,10,19.7,56,10,0,0,0,0,1282,421,80,1159,5386,421,80,5389,2942,11276,"2020-03-14",28.458333333333332,72.22
"Estonia","EST","2022-05-20","Europe",575046,0,160.571,2561,0,0.714,433935.411,0,121.169,1932.556,0,0.539,1.22,5,3.773,111,83.762,NA,NA,NA,NA,3385529,1410,2554.754,1.064,1602,1.209,0.1002,10,1987927,861695,846195,471404,325,210,150.01,65.02,63.85,35.57,158,39,0.003,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,2,2,1,1,NA,NA,2,1,3,2,NA,0,1,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,575046,2561,24.07,24.07,35.71,35.71,45.31,45.31,41.07,41.07,75,75,59,26,21.2,59,26,1,0,0,1,1050,165,268,1260,4446,501,1072,4542,2743,10561,"2020-03-25",39.45833333333333,77.78
"Finland","FIN","2022-05-20","Europe",1081225,0,1640.714,4406,0,17.429,194872.864,0,295.712,794.108,0,3.141,0.99,21,3.785,591,106.518,NA,NA,NA,NA,10896599,5688,1963.931,1.025,5637,1.016,0.292,3.4,NA,NA,NA,NA,NA,22137,NA,NA,NA,NA,3990,80,0.001,5548361,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,0,NA,0,NA,1,1,0,NA,0,NA,1,1,1,1,NA,NA,2,1,3,2,NA,0,1,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,1081225,4406,26.85,26.85,41.67,41.67,45.83,45.83,45.24,45.24,50,50,64,26,22.2,64,26,1,0,0,1,1073,406,92,786,2897,406,200,1626,2357,5129,"2020-03-07",21.458333333333332,71.3
"France","FRA","2022-05-20","Europe",29403788,24332,31308,147849,65,74.714,436115.63,360.891,464.359,2192.89,0.964,1.108,0.8,1095,16.241,17141,254.235,453,6.719,4172,61.879,273552709,161275,4057.321,2.392,172800,2.563,0.145,6.9,144313596,54399089,52812575,38181823,56651,36248,214.05,80.68,78.33,56.63,538,1279,0.002,67422000,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA,NA,NA,NA,"","","NAT_TOTAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,28540650,144563,NA,23.15,NA,32.14,NA,29.69,NA,33.93,NA,0,46,2,21.6,46,2,NA,NA,NA,NA,1600,644,943,2370,8038,2450,3433,26670,5557,40591,"2020-02-15",0.4583333333333333,87.96
"Germany","DEU","2022-05-20","Europe",26040460,42375,45251.857,138324,120,118.857,310373.228,505.063,539.352,1648.668,1.43,1.417,0.74,821,9.785,NA,NA,660,7.866,3736,44.529,NA,NA,NA,NA,102220,1.218,NA,NA,179774250,64537553,64488141,54424309,54987,44850,214.27,76.92,76.86,64.87,535,1214,0.001,83900471,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,1,1,0,NA,0,NA,0,NA,1,1,0,NA,1,NA,NA,NA,NA,NA,2,1,3,2,NA,NA,2,1,NA,NA,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,26040460,138324,21.3,21.3,32.14,32.14,NA,55.73,NA,45.83,NA,100,51,9,22.3,51,9,1,1,0,8,1538,973,876,1555,6926,3181,2754,6205,4942,19066,"2020-03-09",23.458333333333332,85.19
"Greece","GRC","2022-05-20","Europe",3414189,3708,4172.429,29658,16,19.571,329213.412,357.544,402.327,2859.775,1.543,1.887,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93543,9.02,0.0446,22.4,20984775,7914138,7623096,6023079,3925,4093,202.35,76.31,73.51,58.08,395,152,0.001,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,1,1,0,NA,0,NA,0,NA,0,NA,0,2,1,2,NA,NA,2,1,3,0,NA,0,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,3414189,29658,27.78,27.78,41.67,41.67,47.92,47.92,40.48,40.48,100,100,39,22,24.9,39,22,8,0,0,8,1484,1290,1201,2137,6536,4620,4015,22477,6112,37648,"2020-03-11",25.458333333333332,88.89
"Hungary","HUN","2022-05-20","Europe",1914697,0,678.429,46446,0,14.714,198740.378,0,70.419,4820.969,0,1.527,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,0.001,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.854,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,0,2,NA,NA,2,1,2,1,NA,0,2,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,1914697,46446,11.11,11.11,14.29,14.29,33.85,33.85,26.19,26.19,87.5,87.5,47,20,26.4,47,20,0,0,0,8,1051,707,221,1561,4117,2435,443,8119,3540,15114,"2020-03-15",29.458333333333332,79.63
"Iceland","ISL","2022-05-20","Europe",187262,293,102.429,153,0,0,507771.318,794.486,277.741,414.868,0,0,1.33,NA,NA,16,43.385,NA,NA,NA,NA,1338927,1217,3630.575,3.3,964,2.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,"","","NAT_TOTAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,187262,153,NA,11.11,NA,14.29,NA,32.29,NA,22.62,NA,100,65,-18,21.9,65,18,NA,NA,NA,NA,842,0,0,1177,2204,0,0,5443,2019,7647,"2020-03-21",35.45833333333333,65.74
"Ireland","IRL","2022-05-20","Europe",1551835,0,2340.571,7244,0,5.857,311431.848,0,469.72,1453.771,0,1.175,0.85,22,4.415,231,46.359,NA,NA,NA,NA,12182608,6281,2444.881,1.261,5253,1.054,0.12,8.3,10915044,4085907,4034061,3035766,2921,2275,219.05,82,80.96,60.92,457,147,0.003,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.955,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,2,NA,NA,2,1,1,2,NA,0,1,1,5,1,3,1,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,1551835,7244,11.11,11.11,14.29,14.29,41.15,41.15,32.74,32.74,100,100,53,-8,25.3,53,8,0,0,0,1,1540,611,676,1661,9982,2075,2530,12215,4488,26802,"2020-03-11",25.458333333333332,90.74
"Italy","ITA","2022-05-20","Europe",17205017,26818,30172,165827,89,105.143,285004.767,444.246,499.806,2746.96,1.474,1.742,0.74,307,5.086,7119,117.928,222,3.677,2952,48.901,219039166,233745,3628.43,3.872,234832,3.89,0.1285,7.8,137524611,50781675,47925996,40324542,34631,30806,227.81,84.12,79.39,66.8,510,693,0.001,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,0,NA,0,NA,0,NA,0,NA,0,NA,2,1,1,1,NA,NA,2,1,3,2,NA,0,2,1,5,1,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,17205017,165827,27.78,27.78,39.29,39.29,50,50,50,50,50,50,42.83,12.83,19.9,42.83,12.83,8,0,0,8,1921,1472,1395,2636,12325,5774,5415,34874,7424,58388,"2020-02-21",6.458333333333333,93.52
"Latvia","LVA","2022-05-20","Europe",826856,121,165.286,5813,0,2.143,442895.143,64.812,88.533,3113.661,0,1.148,0.76,NA,NA,NA,NA,NA,NA,NA,NA,7192115,2308,3852.367,1.236,2603,1.394,0.0635,15.7,2889639,1345385,1304912,525207,320,199,154.78,72.06,69.9,28.13,107,23,0.001,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,2,1,1,1,NA,0,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,826856,5813,11.11,11.11,14.29,14.29,25,25,28.57,28.57,0,0,57,25,23.6,57,25,0,0,0,8,1374,338,0,1789,6054,488,0,14071,3501,20613,"2020-04-03",48.45833333333333,70.37
"Lithuania","LTU","2022-05-20","Europe",1061364,122,134.429,9129,0,NA,394579.35,45.355,49.976,3393.854,0,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,8690375,1445,3230.788,0.537,1293,0.481,0.101,9.9,4483479,1951435,1875522,931463,331,206,166.68,72.55,69.73,34.63,77,35,0.001,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,2,NA,NA,2,1,3,1,NA,0,1,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,1061364,9129,11.11,11.11,14.29,14.29,35.94,35.94,26.79,26.79,100,100,56,24,26.3,56,24,0,0,0,1,1293,476,379,1480,6405,1220,1069,8872,3628,17566,"2020-03-24",38.45833333333333,87.04
"Luxembourg","LUX","2022-05-20","Europe",246081,331,358.857,1074,1,0.143,387642.68,521.413,565.295,1691.834,1.575,0.225,0.81,3,4.726,16,25.204,NA,NA,NA,NA,4258950,1201,6708.973,1.892,1336,2.105,0.21,4.8,1295074,480900,NA,382266,584,403,204.01,75.75,NA,60.22,635,14,0.002,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.916,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,3,0,NA,0,NA,NA,2,1,3,2,NA,NA,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,246081,1074,25,25,34.52,34.52,40.1,40.1,45.83,45.83,0,0,49.75,6.17,22.6,49.75,6.17,0,0,0,8,1000,752,139,1692,3316,2324,355,9102,3583,15097,"2020-03-14",28.458333333333332,79.63
"Malta","MLT","2022-05-20","Europe",93912,69,78.857,716,0,0.429,181964.736,133.695,152.794,1387.328,0,0.83,0.75,NA,NA,NA,NA,NA,NA,NA,NA,1911579,1235,3703.893,2.393,1282,2.484,0.0615,16.3,1292390,476067,468954,381732,1161,996,250.41,92.24,90.86,73.96,1930,25,0.005,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,2,0,0,NA,NA,2,1,3,0,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,93912,716,13.89,13.89,17.86,17.86,30.21,30.21,29.17,29.17,37.5,37.5,35.83,14.58,28.9,35.83,14.58,0,0,0,8,1120,153,267,2447,4780,567,1005,30383,3987,36735,"2020-04-08",53.45833333333333,87.04
"Moldova","MDA","2022-05-20","Europe",518492,0,46.571,11521,0,0.714,128849.1,0,11.573,2863.054,0,0.178,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,NA,NA,NA,NA,145,NA,NA,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,1,NA,NA,2,1,3,1,NA,0,1,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,518492,11521,11.11,11.11,14.29,14.29,28.12,28.12,26.79,26.79,37.5,37.5,47,29,18.9,47,29,0,0,0,1,1281,607,503,1790,5043,1783,1193,13088,4181,21107,"2020-03-18",32.45833333333333,87.04
"Netherlands","NLD","2022-05-20","Europe",8085383,1042,1163.429,22392,5,2,470816.907,60.676,67.747,1303.9,0.291,0.116,0.88,25,1.456,420,24.457,18,1.048,288,16.77,30605535,1605,1782.179,0.093,1728,0.101,0.515,1.9,NA,NA,NA,NA,NA,2616,NA,NA,NA,NA,152,280,0.002,17173094,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3,2,1,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,8075194,22306,19.44,19.44,25,25,41.15,41.15,39.88,39.88,50,50,52.5,5.75,20.4,52.5,5.75,0,0,0,8,1512,758,419,1535,7446,1622,419,7595,4224,17082,"2020-03-06",20.458333333333332,82.41
"Norway","NOR","2022-05-20","Europe",1431126,282,213.714,3094,33,4.714,261841.043,51.595,39.101,566.083,6.038,0.863,0.94,NA,NA,NA,NA,NA,NA,NA,NA,11110709,1555,2032.833,0.285,1238,0.227,0.189,5.3,11317669,4337706,4037353,2942610,1088,752,207.07,79.36,73.87,53.84,138,82,0.002,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,0,0,NA,NA,2,1,3,0,NA,0,1,1,5,1,1,0,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,1431126,3094,11.11,11.11,14.29,14.29,26.04,26.04,24.4,24.4,37.5,37.5,62,10,23.1,62,10,0,0,0,1,1113,383,427,1012,5121,383,637,3508,2935,9649,"2020-03-14",28.458333333333332,79.63
"Poland","POL","2022-05-20","Europe",6005101,315,319.714,116255,13,9.857,158877.715,8.334,8.459,3075.773,0.344,0.261,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8195,0.217,0.039,25.6,54433639,22697541,22479006,12051407,11749,8617,144.02,60.05,59.47,31.88,228,1639,0.004,37797000,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,2,1,1,0,NA,0,2,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,6005101,116255,14.81,14.81,21.43,21.43,19.79,19.79,22.62,22.62,0,0,52,20,23.1,52,20,0,0,0,8,1255,512,423,1854,4993,632,813,12276,4044,18714,"2020-03-12",26.458333333333332,87.04
"Portugal","PRT","2022-05-20","Europe",4422533,31861,26768.571,22754,32,32.286,434949.498,3133.482,2632.649,2237.822,3.147,3.175,1.17,NA,NA,NA,NA,NA,NA,NA,NA,42241214,58468,4154.36,5.75,54253,5.336,0.4934,2,23978371,9713626,8860698,6477035,NA,11487,235.82,95.53,87.14,63.7,1130,388,0.004,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,NA,0,NA,NA,2,1,3,0,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,4422533,22754,13.89,13.89,17.86,17.86,25.52,25.52,29.17,29.17,0,0,39.5,-8,20.8,39.5,8,0,0,0,8,1481,634,232,1886,7325,2116,814,13718,4233,23973,"2020-03-17",31.458333333333332,87.96
