"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density","obesity_prevalence"
"PHL","Asia","Philippines","2021-12-30",2,8,1385,7025,2,8,1339,6793,2,8,992,3164,4,64,1784,22136,5500,39118,462.624,64.81,64.58,73.81,0,-12.541666666666666,100,351.873,6.4
"POL","Europe","Poland","2021-12-30",2,8,1108,4486,0,0,512,632,0,0,423,813,3,27,1512,10008,3555,15939,2550.864,39.81,53.12,46.43,100,26.458333333333332,87.04,124.027,23.1
"PRT","Europe","Portugal","2021-12-30",2,8,1418,7172,0,0,634,2116,0,0,232,814,3,27,1564,11506,3848,21608,1862.426,42.59,60.94,58.93,75,31.458333333333332,87.96,112.371,20.8
"QAT","Asia","Qatar","2021-12-30",1,1,1030,3910,1,1,706,1018,0,0,469,685,2,8,1743,19251,3948,24864,210.543,58.33,60.94,62.5,50,42.45833333333333,86.11,227.322,35.1
"ROU","Europe","Romania","2021-12-30",1,1,915,2451,2,8,809,2597,1,1,666,2286,3,27,1663,22069,4053,29403,3069.568,52.78,63.02,63.1,62.5,36.45833333333333,87.04,85.129,22.5
"RWA","Africa","Rwanda","2021-12-30",3,27,1383,6651,2,8,1302,5418,2,8,714,2652,3,27,1809,16869,5208,31590,101.608,80.56,68.75,78.57,0,105.45833333333333,90.74,494.869,5.8
"SAU","Asia","Saudi Arabia","2021-12-30",2,8,935,2615,0,0,366,1896,2,8,503,1859,3,27,1772,15692,3576,22062,251.127,75.93,68.23,77.98,0,38.45833333333333,94.44,15.322,35.4
"SEN","Africa","Senegal","2021-12-30",1,1,455,1427,0,0,462,3222,0,0,219,711,3,27,1572,17562,2708,22922,109.907,26.85,37.29,42.62,0,46.45833333333333,77.78,82.328,8.8
"SRB","Europe","Serbia","2021-12-30",0,0,1022,4052,1,1,682,1900,0,0,374,734,3,27,1472,11528,3550,18214,1846.455,28.7,47.92,44.05,75,34.45833333333333,100,80.291,21.5
"SYC","Africa","Seychelles","2021-12-30",2,8,768,3672,2,8,714,2520,1,1,498,1584,3,27,1288,10210,3268,17986,1354.767,69.44,59.38,67.86,0,325.4583333333333,93.52,208.354,14
"SLE","Africa","Sierra Leone","2021-12-30",1,1,599,2009,0,0,417,1101,0,0,156,624,3,27,1908,18684,3080,22418,15.108,29.63,35.73,40.83,0,68.45833333333333,88.89,104.7,8.7
"SGP","Asia","Singapore","2021-12-30",2,8,1301,5729,1,1,709,1141,0,0,149,581,4,64,2515,40075,4674,47526,151.643,48.15,70.83,66.67,100,35.45833333333333,82.41,7915.731,6.1
"SVK","Europe","Slovakia","2021-12-30",3,27,1003,3967,2,8,582,2064,0,0,533,1619,3,27,1938,21810,4056,29460,3045.913,61.57,65.89,62.8,87.5,46.45833333333333,87.04,113.128,20.5
"SVN","Europe","Slovenia","2021-12-30",3,27,1280,7196,0,0,455,1499,0,0,442,1672,3,27,1788,17874,3965,28241,2685.784,63.89,67.5,66.43,75,28.458333333333332,89.81,102.619,20.2
"SLB","Oceania","Solomon Islands","2021-12-30",0,0,96,384,0,0,0,0,0,0,309,645,0,0,512,7352,917,8381,NA,22.22,22.92,26.19,0,710.4583333333333,43.52,21.841,22.5
"SOM","Africa","Somalia","2021-12-30",1,1,468,792,1,1,626,1286,0,0,113,431,3,27,1216,9220,2423,11729,81.482,41.67,43.33,49.52,0,53.45833333333333,73.61,23.5,8.3
"ZAF","Africa","South Africa","2021-12-30",2,8,1007,3659,0,0,1229,4793,0,0,475,1603,3,27,1864,16732,4575,26787,1516.622,44.44,54.69,55.36,50,41.45833333333333,87.96,46.754,28.3
"KOR","Asia","South Korea","2021-12-30",2,8,1057,3511,0,0,483,651,0,0,578,1316,3,27,1697,13271,3815,18749,108.43,50.93,62.5,64.29,50,5.458333333333333,82.41,527.967,4.7
"ESP","Europe","Spain","2021-12-30",2,8,1233,5295,1,1,942,3258,0,0,782,2816,4,64,1967,23927,4924,35296,1912.602,44.91,63.28,59.82,87.5,17.458333333333332,85.19,93.105,23.8
"LKA","Asia","Sri Lanka","2021-12-30",1,1,920,6068,1,1,1268,7406,1,1,888,3372,3,27,2136,29472,5212,46318,695.994,52.78,61.46,63.1,50,42.45833333333333,100,341.955,5.2
"SUR","South America","Suriname","2021-12-30",2,8,1173,5037,2,8,1287,5367,0,0,638,2552,4,64,2077,31285,5175,44241,2009.131,60.19,53.65,61.31,0,48.45833333333333,100,3.612,26.4
