"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density","obesity_prevalence"
"DMA","North America","Dominica","2021-12-30",1,1,612,4662,0,0,628,1702,0,0,195,195,3,27,1661,13343,3096,19902,651.222,37.04,48.44,55.36,0,554.4583333333333,79.63,98.567,27.9
"DOM","North America","Dominican Republic","2021-12-30",1,1,1153,4903,1,1,1193,4667,0,0,511,1879,3,27,1954,21142,4811,32591,387.631,37.96,43.75,50,0,31.458333333333332,100,222.873,27.6
"ECU","South America","Ecuador","2021-12-30",1,1,1280,6500,1,1,799,2773,2,8,883,2905,3,27,1907,16655,4869,28833,1882.329,63.43,72.66,72.32,75,28.458333333333332,93.52,66.939,19.9
"EGY","Africa","Egypt","2021-12-30",1,1,1096,3838,0,0,505,949,0,0,598,2392,4,64,2006,25814,4205,32993,208.396,43.52,48.02,44.17,75,22.458333333333332,87.96,97.999,32
"SLV","North America","El Salvador","2021-12-30",1,1,883,3145,0,0,762,4188,0,0,560,1664,4,64,2236,29644,4441,38641,586.485,31.48,36.46,41.67,0,45.45833333333333,100,307.811,24.6
"ERI","Africa","Eritrea","2021-12-30",1,1,1117,7735,2,8,1109,3899,0,0,1017,4035,3,27,1230,8970,4473,24639,20.825,56.48,46.88,53.57,0,311.4583333333333,93.52,44.304,5
"EST","Europe","Estonia","2021-12-30",2,8,908,4298,0,0,165,501,0,0,110,440,2,8,1010,3458,2193,8697,1454.888,46.3,47.92,54.76,0,39.45833333333333,77.78,31.033,21.2
"ETH","Africa","Ethiopia","2021-12-30",1,1,840,2004,0,0,202,202,0,0,638,2552,3,27,1932,18396,3612,23154,58.757,40.74,45.31,51.79,0,50.45833333333333,80.56,104.957,4.5
"FJI","Oceania","Fiji","2021-12-30",3,27,1439,8633,2,8,1304,5216,2,8,668,2426,3,27,1119,5109,4530,21384,773.065,90.74,81.77,82.74,75,167.45833333333331,93.52,49.562,30.2
"FIN","Europe","Finland","2021-12-30",1,1,932,2756,0,0,406,406,0,0,92,200,1,1,645,1485,2075,4847,306.036,31.94,51.82,48.51,75,21.458333333333332,71.3,18.136,22.2
"FRA","Europe","France","2021-12-30",2,8,1388,7388,0,0,644,2450,2,8,797,2849,3,27,2059,24931,4888,37618,1833.467,72.22,70.31,76.79,25,0.4583333333333333,87.96,122.578,21.6
"GAB","Africa","Gabon","2021-12-30",0,0,954,3642,2,8,1300,5200,1,1,1184,4508,3,27,1644,14796,5082,28146,126.381,41.67,40.62,46.43,0,34.45833333333333,84.26,7.859,15
"GMB","Africa","Gambia","2021-12-30",0,0,485,2555,0,0,338,884,0,0,180,180,3,27,1476,13956,2479,17575,137.519,13.89,28.75,32.86,0,37.45833333333333,83.33,207.566,10.3
"GEO","Asia","Georgia","2021-12-30",2,8,1183,5125,0,0,881,4961,0,0,686,2492,4,64,1625,13121,4375,25699,3456.981,50,51.04,58.33,0,49.45833333333333,100,65.032,21.7
"DEU","Europe","Germany","2021-12-30",2,8,1373,6617,2,8,739,2389,2,8,797,2531,2,8,1273,5077,4182,16614,1330.171,63.89,66.67,70.83,37.5,23.458333333333332,85.19,237.016,22.3
"GHA","Africa","Ghana","2021-12-30",2,8,1023,3567,0,0,205,325,0,0,40,160,4,64,2318,36302,3586,40354,40.558,51.85,52.08,59.52,0,35.45833333333333,86.11,126.719,10.9
"GRC","Europe","Greece","2021-12-30",2,8,1202,5408,2,8,1048,3652,2,8,1053,3639,3,27,1801,20323,5104,33022,1996.77,77.78,82.29,81.55,87.5,25.458333333333332,88.89,83.479,24.9
"GRD","North America","Grenada","2021-12-30",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,1769.677,NA,NA,NA,NA,323.4583333333333,-Inf,317.132,21.3
"GTM","North America","Guatemala","2021-12-30",2,8,1124,5528,1,1,504,1914,0,0,464,1730,2,8,2037,23301,4129,32473,882.527,59.72,61.3,59.35,75,30.458333333333332,96.3,157.834,21.2
"GIN","Africa","Guinea","2021-12-30",1,1,1072,3868,2,8,1282,5128,2,8,1152,4404,3,27,2129,26525,5635,39925,28.969,65.74,56.04,64.05,0,60.45833333333333,80.56,51.755,7.7
"GUY","South America","Guyana","2021-12-30",3,27,976,4624,2,8,1266,4992,2,8,813,3147,4,64,1895,18545,4950,31308,1331.091,78.7,77.6,81.55,50,26.458333333333332,87.04,3.952,20.2
"HTI","North America","Haiti","2021-12-30",1,1,428,1430,1,1,1172,4472,0,0,356,1088,3,27,1827,16113,3783,23103,66.368,43.52,51.04,54.76,25,52.45833333333333,93.52,398.448,22.7
"HND","North America","Honduras","2021-12-30",2,8,1654,11776,2,8,1365,7557,2,8,1310,5240,3,27,1793,17279,6122,41852,1036.769,56.48,62.81,62.86,62.5,40.45833333333333,100,82.805,21.4
"HUN","Europe","Hungary","2021-12-30",2,8,919,3589,0,0,707,2435,0,0,221,443,2,8,1297,6253,3144,12720,4058.89,40.74,54.69,50,87.5,29.458333333333332,79.63,108.043,26.4
"ISL","Europe","Iceland","2021-12-30",1,1,786,2148,0,0,0,0,0,0,0,0,2,8,1065,4995,1851,7143,100.328,37.96,52.6,45.83,100,35.45833333333333,65.74,3.404,21.9
"IND","Asia","India","2021-12-30",2,8,1575,10335,2,8,1569,9405,2,8,1120,4228,2,8,2497,39439,6761,63407,345.254,67.59,61.98,67.26,25,25.458333333333332,100,450.419,3.9
"IDN","Asia","Indonesia","2021-12-30",1,1,1286,6110,1,1,1114,4018,2,8,1086,3750,3,27,2443,37099,5929,50977,521.375,68.98,61.72,65.18,37.5,25.458333333333332,80.09,145.725,6.9
"IRN","Asia","Iran","2021-12-30",2,8,1662,12888,2,8,1000,3220,0,0,1306,5224,3,27,1455,11805,5423,33137,1547.382,54.63,59.9,63.1,37.5,4.458333333333333,83.33,49.831,25.8
"IRQ","Asia","Iraq","2021-12-30",2,8,1356,6456,2,8,1173,4311,2,8,1134,3978,3,27,2347,34759,6010,49504,586.556,68.52,60.42,63.69,37.5,18.458333333333332,96.3,88.125,30.4
"IRL","Europe","Ireland","2021-12-30",2,8,1496,9806,0,0,611,2075,0,0,676,2530,3,27,1430,11180,4213,25591,1186.457,50,68.23,63.69,100,25.458333333333332,90.74,69.874,25.3
"ISR","Asia","Israel","2021-12-30",2,8,1270,6250,0,0,530,2276,0,0,505,1969,2,8,1719,14703,4024,25198,887.203,56.48,65.1,63.69,75,34.45833333333333,94.44,402.606,26.1
"ITA","Europe","Italy","2021-12-30",2,8,1570,9886,2,8,1322,5270,2,8,1277,4943,3,27,2294,32606,6463,52705,2273.526,73.15,80.21,80.95,75,6.458333333333333,93.52,205.859,19.9
"JAM","North America","Jamaica","2021-12-30",2,8,1145,5573,2,8,1375,6529,2,8,1311,5229,3,27,1912,18052,5743,35383,830.682,77.78,73.44,83.93,0,33.45833333333333,87.04,266.879,24.7
"JPN","Asia","Japan","2021-12-30",1,1,714,1668,1,1,574,574,1,1,643,643,1,1,684,852,2615,3737,145.886,47.22,63.54,58.33,100,-1.5416666666666665,55.09,347.778,4.3
"JOR","Asia","Jordan","2021-12-30",1,1,852,3174,0,0,1009,4351,0,0,556,1930,2,8,1207,7843,3624,17298,1228.939,34.26,38.02,39.88,25,41.45833333333333,100,109.285,35.5
"KAZ","Asia","Kazakhstan","2021-12-30",1,1,1232,5390,2,8,872,3872,2,8,1148,4286,3,27,1871,17039,5123,30587,958.728,71.3,53.12,60.71,0,41.45833333333333,92.13,6.681,21
"KEN","Africa","Kenya","2021-12-30",2,8,1017,3183,1,1,1315,6403,0,0,721,2521,4,64,2068,24046,5121,36153,97.771,55.56,57.08,65.24,0,40.45833333333333,88.89,87.324,7.1
"KIR","Oceania","Kiribati","2021-12-30",0,0,0,0,0,0,200,800,0,0,0,0,0,0,120,1080,320,1880,NA,22.22,23.96,23.81,25,725.4583333333333,56.94,143.701,46
"KWT","Asia","Kuwait","2021-12-30",3,27,1024,4228,1,1,689,2663,0,0,612,1716,2,8,1767,16227,4092,24834,570.167,63.89,59.38,62.5,37.5,49.45833333333333,100,232.128,37.9
"KGZ","Asia","Kyrgyzstan","2021-12-30",0,0,1158,4980,0,0,476,2474,0,0,619,1855,2,8,1564,12196,3817,21505,422.428,47.22,50.52,47.02,75,48.45833333333333,92.13,32.333,16.6
"LVA","Europe","Latvia","2021-12-30",2,8,1194,5334,1,1,278,428,0,0,0,0,3,27,1357,9031,2829,14793,2443.043,57.41,60.94,62.5,50,48.45833333333333,70.37,31.212,23.6
"LBN","Asia","Lebanon","2021-12-30",2,8,1222,5728,2,8,1139,4811,0,0,930,3342,4,64,1800,15960,5091,29841,1344.629,42.59,55,55.71,50,24.458333333333332,92.59,594.561,32
"LSO","Africa","Lesotho","2021-12-30",2,8,880,2920,2,8,941,3005,0,0,265,265,3,27,1835,23633,3921,29823,308.003,45.37,46.88,53.57,0,145.45833333333331,85.19,73.562,16.6
"LBR","Africa","Liberia","2021-12-30",3,27,1256,5606,0,0,507,1485,0,0,402,1380,4,64,1908,18852,4073,27323,55.403,48.15,47.08,53.81,0,50.45833333333333,87.96,49.127,9.9
"LTU","Europe","Lithuania","2021-12-30",2,8,1101,5367,0,0,476,1220,0,0,379,1069,2,8,1182,7128,3138,14784,2741.033,50,56.25,57.14,50,38.45833333333333,87.04,45.135,26.3
"LUX","Europe","Luxembourg","2021-12-30",1,1,895,2983,0,0,752,2324,0,0,139,355,2,8,1410,7974,3196,13636,1436.641,46.3,53.12,57.14,25,28.458333333333332,79.63,231.447,22.6
