"location","iso_code","date","continent","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","region_name","region_code","jurisdiction","c1_school_closing","c1_flag","c2_workplace_closing","c2_flag","c3_cancel_public_events","c3_flag","c4_restrictions_on_gatherings","c4_flag","c5_close_public_transport","c5_flag","c6_stay_at_home_requirements","c6_flag","c7_restrictions_on_internal_movement","c7_flag","c8_international_travel_controls","e1_income_support","e1_flag","e2_debt/contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h1_flag","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h6_flag","h7_vaccination_policy","h7_flag","h8_protection_of_elderly_people","h8_flag","m1_wildcard","v1_vaccine_prioritisation_(summary)","v2_a_vaccine_availability_(summary)","v2_b_vaccine_age_eligibility/availability_age_floor_(general_population_summary)","v2_c_vaccine_age_eligibility/availability_age_floor_(at_risk_summary)","v2_d_medically/_clinically_vulnerable_(non-elderly)","v2_e_education","v2_f_frontline_workers__(non_healthcare)","v2_g_frontline_workers__(healthcare)","v3_vaccine_financial_support_(summary)","v4_mandatory_vaccination_(summary)","confirmed_cases","confirmed_deaths","stringency_index","stringency_index_for_display","stringency_legacy_index","stringency_legacy_index_for_display","government_response_index","government_response_index_for_display","containment_health_index","containment_health_index_for_display","economic_support_index","economic_support_index_for_display","lat_raw","long_raw","obesity_prevalence","latitude","longitude","c2_workplace_closing_cubed","c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement_cubed","h6_facial_coverings_cubed","cum_c2_workplace_closing","cum_c6_stay_at_home_requirements","cum_c7_restrictions_on_internal_movement","cum_h6_facial_coverings","cum_c2_workplace_closing_cubed","cum_c6_stay_at_home_requirements_cubed","cum_c7_restrictions_on_internal_movement_cubed","cum_h6_facial_coverings_cubed","sub_stringency","sub_stringency_cubed","lockdowns","lockdowns_cubed","first_death_date","date_first_death_days","stringency"
"Denmark","DNK","2021-12-30","Europe",783702,21403,15699.286,3256,9,11.857,134811.85,3681.729,2700.58,560.095,1.548,2.04,1.38,75,12.901,665,114.393,NA,NA,1030,177.18,53498669,225531,9202.802,38.796,147970,25.454,0.1061,9.4,12060278,4777440,4584662,2745007,53037,58944,207.46,82.18,78.87,47.22,10140,3172,0.055,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,2,0,NA,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,783702,3256,47.22,47.22,53.57,53.57,52.6,52.6,60.12,60.12,0,0,56,10,19.7,56,10,8,0,0,8,1228,421,80,1095,5200,421,80,5133,2824,10834,1649,5621,"2020-03-14",28.458333333333332,72.22
"Estonia","EST","2021-12-30","Europe",240334,1377,768,1928,6,4.143,181358.419,1039.098,579.54,1454.888,4.528,3.126,1.29,15,11.319,218,164.505,NA,NA,NA,NA,2531127,7684,1910.014,5.798,6345,4.788,0.121,8.3,1808261,842089,818743,321463,4221,3643,136.45,63.54,61.78,24.26,2749,407,0.031,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,2,1,2,1,4,1,0,NA,0,NA,0,NA,2,0,NA,0,NA,NA,2,1,2,2,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,240334,1928,46.3,46.3,46.43,46.43,47.92,47.92,54.76,54.76,0,0,59,26,21.2,59,26,8,0,0,8,908,165,110,1010,4298,501,440,3458,2193,8697,1073,4799,"2020-03-25",39.45833333333333,77.78
"Finland","FIN","2021-12-30","Europe",263504,7385,4724,1698,13,9.714,47492.223,1331.024,851.423,306.036,2.343,1.751,1.52,56,10.093,343,61.82,NA,NA,NA,NA,8724893,32984,1572.517,5.945,23848,4.298,0.219,4.6,9544821,NA,NA,1066416,NA,21841,172.03,NA,NA,19.22,3936,59,0.001,5548361,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,0,1,0,4,0,0,NA,0,NA,0,NA,1,2,1,1,NA,NA,2,1,3,2,NA,0,1,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,263504,1698,31.94,31.94,40,40,51.82,51.82,48.51,48.51,75,75,64,26,22.2,64,26,1,0,0,1,932,406,92,645,2756,406,200,1485,2075,4847,1338,3162,"2020-03-07",21.458333333333332,71.3
"France","FRA","2021-12-30","Europe",9785821,206544,121620.286,123616,182,179.857,145142.847,3063.451,1803.866,1833.467,2.699,2.668,1.59,3506,52.001,18321,271.736,1976,29.308,10279,152.458,194514059,1599067,2885.024,23.717,1038796,15.407,0.144,6.9,123999795,53176357,49582247,22319909,533730,380957,183.92,78.87,73.54,33.1,5650,22951,0.034,67422000,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,2,1,0,NA,2,1,3,1,1,0,NA,NA,2,1,3,1,NA,0,3,1,5,1,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,9529614,121012,72.22,72.22,85.71,85.71,70.31,70.31,76.79,76.79,25,25,46,2,21.6,46,2,8,0,8,27,1388,644,797,2059,7388,2450,2849,24931,4888,37618,2032,9838,"2020-02-15",0.4583333333333333,87.96
"Germany","DEU","2021-12-30","Europe",7109182,42770,26506.571,111602,383,264.714,84733.517,509.771,315.929,1330.171,4.565,3.155,0.94,3913,46.639,NA,NA,1548,18.45,5277,62.896,NA,NA,NA,NA,154639,1.843,NA,NA,153822231,62716963,59117007,34272307,486227,382754,183.34,74.75,70.46,40.85,4562,33935,0.04,83900471,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,0,2,1,4,1,0,NA,2,1,2,0,2,2,0,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,7109182,111602,63.89,63.89,60.71,60.71,66.67,66.67,70.83,70.83,37.5,37.5,51,9,22.3,51,9,8,8,8,8,1373,739,797,1273,6617,2389,2531,5077,4182,16614,2112,9006,"2020-03-09",23.458333333333332,85.19
"Greece","GRC","2021-12-30","Europe",1170293,35580,16244.286,20708,72,72.857,112845.584,3430.804,1566.356,1996.77,6.943,7.025,1.91,NA,NA,NA,NA,NA,NA,NA,NA,46704479,424682,4503.483,40.95,346931,33.453,0.0468,21.4,17400380,7459446,7031794,3479029,97522,67061,167.78,71.93,67.8,33.55,6466,8314,0.08,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,2,1,2,0,2,1,2,2,0,2,NA,NA,2,1,3,2,NA,0,3,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,1170293,20708,77.78,77.78,82.14,82.14,82.29,82.29,81.55,81.55,87.5,87.5,39,22,24.9,39,22,8,8,8,27,1202,1048,1053,1801,5408,3652,3639,20323,5104,33022,2250,9060,"2020-03-11",25.458333333333332,88.89
"Hungary","HUN","2021-12-30","Europe",1253055,3361,2246.429,39104,95,113.857,130063.725,348.863,233.173,4058.89,9.861,11.818,0.93,NA,NA,3697,383.739,NA,NA,NA,NA,8701858,17638,903.229,1.831,13432,1.394,0.1672,6,NA,6266064,5981569,3176553,NA,10347,NA,65.04,62.09,32.97,1074,2702,0.028,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.854,NA,NA,NA,NA,"","","NAT_TOTAL",0,NA,2,1,2,1,2,1,0,NA,0,NA,0,NA,2,2,0,2,NA,NA,2,1,3,1,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,1253055,39104,40.74,40.74,46.43,46.43,54.69,54.69,50,50,87.5,87.5,47,20,26.4,47,20,8,0,0,8,919,707,221,1297,3589,2435,443,6253,3144,12720,1626,6024,"2020-03-15",29.458333333333332,79.63
"Iceland","ISL","2021-12-30","Europe",27059,1745,710.286,37,0,0,73371.982,4731.664,1925.979,100.328,0,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,840938,9549,2280.25,25.893,4645,12.595,NA,NA,716926,288241,283920,200913,NA,370,194.4,78.16,76.99,54.48,1003,61,0.017,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,3,1,0,NA,0,NA,0,NA,2,2,1,2,NA,NA,2,1,3,1,NA,0,2,1,5,1,0,NA,NA,2,2,"16-19 yrs","16-19 yrs",2,2,2,2,5,NA,27059,37,37.96,37.96,47.14,47.14,52.6,52.6,45.83,45.83,100,100,65,-18,21.9,65,18,1,0,0,8,786,0,0,1065,2148,0,0,4995,1851,7143,786,2148,"2020-03-21",35.45833333333333,65.74
"Ireland","IRL","2021-12-30","Europe",768449,20554,12582,5912,0,3.143,154217.099,4124.904,2525.034,1186.457,0,0.631,1.56,88,17.66,619,124.225,NA,NA,NA,NA,9980005,45684,2002.849,9.168,33237,6.67,0.39,2.6,9812012,3925806,3872657,2254259,63579,24150,196.91,78.79,77.72,45.24,4847,445,0.009,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.955,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,3,1,0,NA,0,NA,0,NA,3,2,1,2,NA,NA,2,1,2,2,NA,0,3,1,5,1,3,1,NA,2,1,"5-15 yrs","5-15 yrs",0,0,0,0,5,0,768449,5912,50,50,57.14,57.14,68.23,68.23,63.69,63.69,100,100,53,-8,25.3,53,8,8,0,0,27,1496,611,676,1430,9806,2075,2530,11180,4213,25591,2107,11881,"2020-03-11",25.458333333333332,90.74
"Italy","ITA","2021-12-30","Europe",5981428,127000,66339.143,137247,156,143.143,99083.627,2103.782,1098.922,2273.526,2.584,2.371,2.01,1226,20.309,12092,200.307,772,12.788,7866,130.302,138913581,1150352,2301.133,19.056,810715,13.43,0.0818,12.2,111067970,48384951,44743861,19442777,582755,418618,183.99,80.15,74.12,32.21,6934,37325,0.062,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,1,1,2,1,2,0,2,0,3,1,1,2,NA,NA,2,1,3,2,NA,0,3,1,5,1,3,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,5981428,137247,73.15,73.15,84.52,84.52,80.21,80.21,80.95,80.95,75,75,42.83,12.83,19.9,42.83,12.83,8,8,8,27,1570,1322,1277,2294,9886,5270,4943,32606,6463,52705,2892,15156,"2020-02-21",6.458333333333333,93.52
"Latvia","LVA","2021-12-30","Europe",275517,1246,765.571,4561,8,10.286,147577.258,667.404,410.069,2443.043,4.285,5.509,1.22,NA,NA,385,206.22,NA,NA,NA,NA,5548688,9826,2972.086,5.263,6658,3.566,0.115,8.7,2555461,1314107,1262487,258429,7279,6259,136.88,70.39,67.62,13.84,3353,761,0.041,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,2,1,4,1,0,NA,1,1,0,NA,2,1,1,1,NA,NA,2,1,2,1,NA,0,3,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,1,275517,4561,57.41,57.41,64.29,64.29,60.94,60.94,62.5,62.5,50,50,57,25,23.6,57,25,8,1,0,27,1194,278,0,1357,5334,428,0,9031,2829,14793,1472,5762,"2020-04-03",48.45833333333333,70.37
"Lithuania","LTU","2021-12-30","Europe",522351,1864,1453.286,7384,19,21.286,194192.49,692.972,540.283,2745.122,7.064,7.913,1.14,NA,NA,NA,NA,NA,NA,NA,NA,6890351,15790,2561.6,5.87,11580,4.305,0.135,7.4,4124921,1917086,1831439,646311,17772,11948,153.35,71.27,68.09,24.03,4442,1059,0.039,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,2,1,2,1,4,1,0,NA,0,NA,0,NA,2,2,1,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,522351,7384,50,50,53.57,53.57,56.25,56.25,57.14,57.14,50,50,56,24,26.3,56,24,8,0,0,8,1092,473,376,1182,5286,1217,1066,7128,3123,14697,1565,6503,"2020-03-24",38.45833333333333,87.04
"Luxembourg","LUX","2021-12-30","Europe",102486,1230,578,912,1,0.714,161442.564,1937.575,910.503,1436.641,1.575,1.125,1.48,21,33.081,67,105.543,NA,NA,NA,NA,3818347,4498,6014.907,7.086,3236,5.098,0.211,4.7,1072377,464053,NA,205501,7130,4407,168.93,73.1,NA,32.37,6942,439,0.069,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.916,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,3,1,1,1,0,NA,0,NA,3,1,1,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,102486,912,46.3,46.3,60.24,60.24,53.12,53.12,57.14,57.14,25,25,49.75,6.17,22.6,49.75,6.17,1,0,0,8,895,752,139,1410,2983,2324,355,7974,3196,13636,1647,5307,"2020-03-14",28.458333333333332,79.63
"Malta","MLT","2021-12-30","Europe",51070,1353,1037.714,476,0,0.429,98953.691,2621.585,2010.685,922.302,0,0.83,1.62,NA,NA,94,182.135,NA,NA,NA,NA,1541013,8190,2985.881,15.869,7156,13.866,0.145,6.9,1068765,444418,435772,NA,8341,5837,207.08,86.11,84.44,NA,11310,594,0.115,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,"","","NAT_TOTAL",1,1,1,1,1,1,4,1,0,NA,0,NA,0,NA,3,2,0,1,NA,NA,2,1,3,2,NA,0,4,1,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,51070,476,43.52,43.52,53.57,53.57,59.37,59.37,58.93,58.93,62.5,62.5,35.83,14.58,28.9,35.83,14.58,1,0,0,64,872,153,267,1989,3524,567,1005,24597,3281,29693,1025,4091,"2020-04-08",53.45833333333333,87.04
"Moldova","MDA","2021-12-30","Europe",375780,422,289.714,9690,23,16.429,93384.112,104.87,71.996,2408.037,5.716,4.083,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9142,NA,2.272,7001,1.74,0.0414,24.2,1775044,NA,981735,NA,NA,4814,44.11,NA,24.4,NA,1196,1097,0.027,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,NA,NA,NA,NA,"","","NAT_TOTAL",1,0,1,1,2,1,4,1,0,NA,0,NA,0,NA,3,1,0,1,NA,NA,2,1,3,1,NA,0,3,0,5,1,1,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,375780,9690,47.22,47.22,50,50,52.86,52.86,55.06,55.06,37.5,37.5,47,29,18.9,47,29,1,0,0,27,1175,607,503,1532,4937,1783,1193,11996,3817,19909,1782,6720,"2020-03-18",32.45833333333333,87.04
"Netherlands","NLD","2021-12-30","Europe",3137799,16813,13213,20967,40,38.714,182715.997,979.032,769.401,1220.922,2.329,2.254,1.17,492,28.649,1365,79.485,177,10.307,1079,62.831,22061474,70582,1284.653,4.11,48287,2.812,0.281,3.6,NA,NA,NA,NA,NA,219168,NA,NA,NA,NA,12762,1237,0.007,17173094,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,NA,NA,NA,NA,"","","NAT_TOTAL",3,1,2,1,2,1,4,1,0,NA,1,1,0,NA,3,2,1,0,NA,NA,2,1,3,2,NA,0,3,1,5,1,2,1,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,3132745,20892,63.89,63.89,71.43,71.43,69.79,69.79,72.62,72.62,50,50,52.5,5.75,20.4,52.5,5.75,8,1,0,27,1400,649,347,1204,6998,1513,347,5536,3600,14394,2049,8511,"2020-03-06",20.458333333333332,82.41
"Norway","NOR","2021-12-30","Europe",391214,4018,3335.429,1305,0,6.857,71577.123,735.14,610.255,238.765,0,1.255,1.06,NA,NA,326,59.645,NA,NA,NA,NA,9246243,17127,1691.707,3.134,14233,2.604,0.245,4.1,9786112,4291392,3928411,1566309,18033,16257,179.05,78.52,71.87,28.66,2974,443,0.008,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,1,1,4,1,0,NA,1,1,0,NA,2,2,0,0,NA,NA,2,1,3,2,NA,0,2,1,5,1,1,0,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,NA,391214,1305,51.85,51.85,64.29,64.29,56.77,56.77,59.52,59.52,37.5,37.5,62,10,23.1,62,10,8,1,0,8,1038,340,427,828,4854,340,637,3066,2633,8897,1378,5194,"2020-03-14",28.458333333333332,79.63
"Poland","POL","2021-12-30","Europe",4094608,14326,11026.857,96415,708,424.286,108331.561,379.025,291.739,2550.864,18.732,11.225,0.83,NA,NA,20433,540.598,NA,NA,NA,NA,27906302,NA,738.321,NA,80573,2.132,0.1369,7.3,46962321,21668667,21042850,6847727,NA,116528,124.25,57.33,55.67,18.12,3083,21213,0.056,37797000,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA,NA,NA,NA,"","","NAT_TOTAL",2,1,2,1,1,1,3,1,0,NA,0,NA,0,NA,3,2,1,2,NA,NA,2,1,2,1,NA,0,3,1,5,1,0,NA,NA,2,3,"5-15 yrs","5-15 yrs",2,2,2,2,5,0,4094608,96415,48.15,48.15,57.86,57.86,57.81,57.81,51.79,51.79,100,100,52,20,23.1,52,20,8,0,0,27,1108,512,423,1512,4486,632,813,10008,3555,15939,1620,5118,"2020-03-12",26.458333333333332,87.04
