"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density"
"ALB","Europe","Albania","2022-05-20",0,0,1125,3087,0,0,1230,4302,0,0,472,1888,2,8,2171,22583,4998,31860,1217.223,11.11,23.96,27.38,0,25.458333333333332,89.81,104.871
"AND","Europe","Andorra","2022-05-20",0,0,1244,4808,0,0,172,250,0,0,43,43,2,8,2074,16186,3533,21287,1977.92,8.33,28.65,32.74,0,36.45833333333333,65.74,163.755
"AUT","Europe","Austria","2022-05-20",2,8,1646,8780,0,0,678,2658,0,0,610,2026,2,8,2029,15211,4963,28675,2195.603,35.19,60.42,54.76,100,28.458333333333332,82.41,106.749
"BLR","Europe","Belarus","2022-05-20",0,0,163,163,0,0,503,503,0,0,0,0,1,1,1327,7705,1993,8371,738.97,16.67,23.44,26.79,0,45.45833333333333,43.52,46.858
"BEL","Europe","Belgium","2022-05-20",1,1,1592,7346,0,0,702,2544,0,0,190,724,2,8,2046,16284,4530,26898,2723.013,23.15,39.06,44.64,0,25.458333333333332,81.48,375.564
"BIH","Europe","Bosnia and Herzegovina","2022-05-20",0,0,1147,3925,0,0,683,2867,0,0,273,693,2,8,2095,16315,4198,23800,4836.28,28.7,33.85,38.69,0,35.45833333333333,92.59,68.496
"BGR","Europe","Bulgaria","2022-05-20",0,0,1209,4149,0,0,133,355,0,0,120,414,0,0,1792,13024,3254,17942,5377.534,11.11,35.94,28.57,87.5,25.458333333333332,73.15,65.18
"HRV","Europe","Croatia","2022-05-20",1,1,1052,3482,0,0,228,522,0,0,160,640,2,8,1785,14139,3225,18783,3908.707,24.07,29.17,33.33,0,33.45833333333333,96.3,73.726
"CYP","Europe","Cyprus","2022-05-20",1,1,1581,10017,0,0,945,2673,0,0,488,1406,1,1,2019,18183,5033,32279,1179.681,26.85,50,42.86,100,39.45833333333333,94.44,127.657
"CZE","Europe","Czechia","2022-05-20",1,1,1255,4435,0,0,418,1426,0,0,492,1626,2,8,2045,17231,4210,24718,3754.469,14.81,39.06,39.29,37.5,36.45833333333333,82.41,137.176
"DNK","Europe","Denmark","2022-05-20",0,0,1282,5386,0,0,421,421,0,0,80,80,0,0,1159,5389,2942,11276,1085.786,11.11,29.17,33.33,0,28.458333333333332,72.22,136.52
"EST","Europe","Estonia","2022-05-20",1,1,1050,4446,0,0,165,501,0,0,268,1072,1,1,1260,4542,2743,10561,1932.556,24.07,45.31,41.07,75,39.45833333333333,77.78,31.033
"FIN","Europe","Finland","2022-05-20",1,1,1073,2897,0,0,406,406,0,0,92,200,1,1,786,1626,2357,5129,794.108,26.85,45.83,45.24,50,21.458333333333332,71.3,18.136
"FRA","Europe","France","2022-05-20",NA,NA,1600,8038,NA,NA,644,2450,NA,NA,943,3433,NA,NA,2370,26670,5557,40591,2192.89,NA,NA,NA,NA,0.4583333333333333,87.96,122.578
"DEU","Europe","Germany","2022-05-20",1,1,1538,6926,1,1,973,3181,0,0,876,2754,2,8,1555,6205,4942,19066,1648.668,21.3,NA,38.69,NA,23.458333333333332,85.19,237.016
