"iso_code","continent","location","date","c2_workplace_closing","c2_workplace_closing_cubed","cum_c2_workplace_closing","cum_c2_workplace_closing_cubed","c6_stay_at_home_requirements","c6_stay_at_home_requirements_cubed","cum_c6_stay_at_home_requirements","cum_c6_stay_at_home_requirements_cubed","c7_restrictions_on_internal_movement","c7_restrictions_on_internal_movement_cubed","cum_c7_restrictions_on_internal_movement","cum_c7_restrictions_on_internal_movement_cubed","h6_facial_coverings","h6_facial_coverings_cubed","cum_h6_facial_coverings","cum_h6_facial_coverings_cubed","total_restrictions","total_restrictions_cubed","total_deaths_per_million","stringency_index_for_display","government_response_index_for_display","containment_health_index_for_display","economic_support_index_for_display","date_first_death_days","max_stringency","population_density"
"GRC","Europe","Greece","2022-05-20",2,8,1484,6536,0,0,1290,4620,0,0,1201,4015,2,8,2137,22477,6112,37648,2859.775,27.78,47.92,40.48,100,25.458333333333332,88.89,83.479
"HUN","Europe","Hungary","2022-05-20",0,0,1051,4117,0,0,707,2435,0,0,221,443,2,8,1561,8119,3540,15114,4820.969,11.11,33.85,26.19,87.5,29.458333333333332,79.63,108.043
"ISL","Europe","Iceland","2022-05-20",NA,NA,842,2204,NA,NA,0,0,NA,NA,0,0,NA,NA,1177,5443,2019,7647,414.868,NA,NA,NA,NA,35.45833333333333,65.74,3.404
"IRL","Europe","Ireland","2022-05-20",0,0,1540,9982,0,0,611,2075,0,0,676,2530,1,1,1661,12215,4488,26802,1453.771,11.11,41.15,32.74,100,25.458333333333332,90.74,69.874
"ITA","Europe","Italy","2022-05-20",2,8,1921,12325,0,0,1472,5774,0,0,1395,5415,2,8,2636,34874,7424,58388,2746.96,38.89,56.25,57.14,50,6.458333333333333,93.52,205.859
"LVA","Europe","Latvia","2022-05-20",0,0,1374,6054,0,0,338,488,0,0,0,0,2,8,1789,14071,3501,20613,3113.661,11.11,25,28.57,0,48.45833333333333,70.37,31.212
"LIE","Europe","Liechtenstein","2022-05-20",1,1,1138,3712,0,0,595,595,0,0,10,10,1,1,1532,8252,3275,12569,2195.849,14.81,30.73,27.98,50,49.45833333333333,67.59,237.012
"LTU","Europe","Lithuania","2022-05-20",0,0,1293,6405,0,0,476,1220,0,0,379,1069,1,1,1480,8872,3628,17566,3393.854,11.11,35.94,26.79,100,38.45833333333333,87.04,45.135
"LUX","Europe","Luxembourg","2022-05-20",0,0,1000,3316,0,0,752,2324,0,0,139,355,2,8,1692,9102,3583,15097,1691.834,25,40.1,45.83,0,28.458333333333332,79.63,231.447
"MLT","Europe","Malta","2022-05-20",0,0,1120,4780,0,0,153,567,0,0,267,1005,2,8,2447,30383,3987,36735,1387.328,13.89,33.33,29.17,62.5,53.45833333333333,87.04,1454.037
"MDA","Europe","Moldova","2022-05-20",0,0,1281,5043,0,0,607,1783,0,0,503,1193,1,1,1790,13088,4181,21107,2863.054,11.11,28.12,26.79,37.5,32.45833333333333,87.04,123.655
"MCO","Europe","Monaco","2022-05-20",1,1,1431,6141,0,0,745,2323,0,0,390,858,2,8,2168,20366,4734,29688,1442.308,17.59,32.81,33.93,25,43.45833333333333,87.96,19347.5
"NLD","Europe","Netherlands","2022-05-20",0,0,1512,7446,0,0,758,1622,0,0,419,419,2,8,1535,7595,4224,17082,1303.9,19.44,41.15,39.88,50,20.458333333333332,82.41,508.544
"NOR","Europe","Norway","2022-05-20",0,0,1113,5121,0,0,383,383,0,0,427,637,1,1,1012,3508,2935,9649,566.083,11.11,26.04,24.4,37.5,28.458333333333332,79.63,14.462
"POL","Europe","Poland","2022-05-20",0,0,1255,4993,0,0,512,632,0,0,423,813,2,8,1854,12276,4044,18714,3075.773,14.81,19.79,22.62,0,26.458333333333332,87.04,124.027
"PRT","Europe","Portugal","2022-05-20",0,0,1481,7325,0,0,634,2116,0,0,232,814,2,8,1886,13718,4233,23973,2237.822,13.89,25.52,29.17,0,31.458333333333332,87.96,112.371
"ROU","Europe","Romania","2022-05-20",0,0,983,2519,0,0,945,3141,0,0,734,2354,1,1,1954,24160,4616,32174,3431.869,11.11,34.38,30.36,62.5,36.45833333333333,87.04,85.129
"SMR","Europe","San Marino","2022-05-20",1,1,881,1973,0,0,529,1369,0,0,276,438,1,1,1419,11865,3105,15645,3381.358,43.52,54.17,51.19,75,14.458333333333332,92.59,556.667
"SRB","Europe","Serbia","2022-05-20",0,0,1113,4143,0,0,798,2016,0,0,374,734,2,8,1870,14860,4155,21753,2337.174,11.11,29.69,28.57,37.5,34.45833333333333,100,80.291
"SVK","Europe","Slovakia","2022-05-20",NA,NA,1065,4209,NA,NA,654,2244,NA,NA,533,1619,NA,NA,2271,24807,4523,32879,3683.98,NA,NA,NA,NA,46.45833333333333,87.04,113.128
"SVN","Europe","Slovenia","2022-05-20",0,0,1313,5999,0,0,455,1499,0,0,442,1672,2,8,2130,20142,4340,29312,3188.496,11.11,28.65,23.81,62.5,28.458333333333332,89.81,102.619
"ESP","Europe","Spain","2022-05-20",2,8,1515,6423,0,0,943,3259,0,0,782,2816,2,8,2331,27351,5571,39849,2259.953,29.17,42.97,43.75,37.5,17.458333333333332,85.19,93.105
"SWE","Europe","Sweden","2022-05-20",0,0,723,1857,0,0,581,581,0,0,333,333,0,0,330,1026,1967,3797,1864.242,11.11,19.79,19.05,25,24.458333333333332,69.44,24.718
"CHE","Europe","Switzerland","2022-05-20",0,0,1452,6414,0,0,347,347,0,0,81,81,0,0,1603,10231,3483,17073,1582.354,11.11,25,21.43,50,20.458333333333332,73.15,214.243
"UKR","Europe","Ukraine","2022-05-20",1,1,1261,4645,1,1,606,606,2,8,1336,5206,3,27,2150,17810,5353,28267,2587.238,75,68.75,71.43,50,27.458333333333332,88.89,77.39
"GBR","Europe","United Kingdom","2022-05-20",0,0,1659,9279,0,0,570,1650,0,0,778,2806,1,1,2027,16979,5034,30714,2611.942,11.11,26.82,27.08,25,20.458333333333332,87.96,272.898
